+1000000000.0ns POS: x=5.1, y=492, z=0; VEL:7.25, y=0, z=0
+1000000000.0ns POS: x=994.9, y=508, z=0; VEL:-9.55, y=0, z=0
+1000000000.0ns POS: x=508, y=5.1, z=0; VEL:0, y=12.55, z=0
+1000000000.0ns POS: x=492, y=994.9, z=0; VEL:0, y=-11.98, z=0
+1000000000.0ns POS: x=450, y=488.8, z=0; VEL:0.2, y=0, z=0
+1000000000.0ns POS: x=520, y=511.2, z=0; VEL:-0.09, y=0, z=0
+1000000000.0ns POS: x=511.2, y=460, z=0; VEL:0, y=0.22, z=0
+1000000000.0ns POS: x=488.8, y=525, z=0; VEL:0, y=-0.25, z=0
+1999999999.0ns POS: x=985.35, y=508, z=0; VEL:0, y=0, z=0
+1999999999.0ns POS: x=450.2, y=488.8, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=12.35, y=492, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=508, y=17.65, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=488.8, y=524.75, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=12.35, y=492, z=0; VEL:9.11, y=0, z=0
+2000000000.0ns POS: x=985.35, y=508, z=0; VEL:-12.08, y=0, z=0
+2000000000.0ns POS: x=508, y=17.65, z=0; VEL:0, y=14.76, z=0
+2000000000.0ns POS: x=492, y=982.92, z=0; VEL:0, y=-11.81, z=0
+2000000000.0ns POS: x=450.2, y=488.8, z=0; VEL:0.17, y=0, z=0
+2000000000.0ns POS: x=519.91, y=511.2, z=0; VEL:-0.1, y=0, z=0
+2000000000.0ns POS: x=511.2, y=460.22, z=0; VEL:0, y=0.22, z=0
+2000000000.0ns POS: x=488.8, y=524.75, z=0; VEL:0, y=-0.21, z=0
+2999999999.0ns POS: x=492, y=971.11, z=0; VEL:0, y=0, z=0
+2999999999.0ns POS: x=511.2, y=460.44, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=21.46, y=492, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=508, y=32.41, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=21.46, y=492, z=0; VEL:10.6242, y=3.07392, z=0
+3000000000.0ns POS: x=5.1, y=492, z=0; VEL:9.02, y=0, z=0
+3000000000.0ns POS: x=973.27, y=508, z=0; VEL:-14.07, y=0, z=0
+3000000000.0ns POS: x=508, y=32.41, z=0; VEL:0, y=17.17, z=0
+3000000000.0ns POS: x=492, y=971.11, z=0; VEL:0, y=-11.45, z=0
+3000000000.0ns POS: x=450.37, y=488.8, z=0; VEL:0.2, y=0, z=0
+3000000000.0ns POS: x=519.81, y=511.2, z=0; VEL:-0.09, y=0, z=0
+3000000000.0ns POS: x=511.2, y=460.44, z=0; VEL:0, y=0.23, z=0
+3000000000.0ns POS: x=488.8, y=524.54, z=0; VEL:0, y=-0.23, z=0
+3888888888.0ns POS: x=519.73, y=511.2, z=0; VEL:0, y=0, z=0
+3999999999.0ns POS: x=450.57, y=488.8, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=14.12, y=492, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=508, y=49.58, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=32.0842, y=495.074, z=0; VEL:12.6394, y=0.12187, z=0
+4000000000.0ns POS: x=14.12, y=492, z=0; VEL:10.57, y=0, z=0
+4000000000.0ns POS: x=959.2, y=508, z=0; VEL:-16.25, y=0, z=0
+4000000000.0ns POS: x=508, y=49.58, z=0; VEL:0, y=19.13, z=0
+4000000000.0ns POS: x=492, y=959.66, z=0; VEL:0, y=-12.63, z=0
+4000000000.0ns POS: x=450, y=488.8, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=450.57, y=488.8, z=0; VEL:0.18, y=0, z=0
+4000000000.0ns POS: x=520, y=511.2, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=519.73, y=511.2, z=0; VEL:-0.09, y=0, z=0
