% time	cellId	IMSI	RNTI	mcs	size	resPscch	rbLen	rbStart	iTrp	hopping	groupDstId	correct
2080	0	2	1	16	193	8	5	18	0	0	255	1
2080	0	2	3	16	193	112	5	9	0	0	255	1
2080	0	2	6	16	193	104	5	41	0	0	255	1
2080	0	2	8	16	193	42	5	24	0	0	255	1
2080	0	2	4	16	193	49	5	33	0	0	255	1
2080	0	2	7	16	193	49	5	10	0	0	255	0
2080	0	5	6	16	193	104	5	41	0	0	255	1
2080	0	5	3	16	193	112	5	9	0	0	255	1
2080	0	5	8	16	193	42	5	24	0	0	255	1
2080	0	5	1	16	193	8	5	18	0	0	255	1
2080	0	5	4	16	193	49	5	33	0	0	255	1
2080	0	5	7	16	193	49	5	10	0	0	255	0
2080	0	9	8	16	193	42	5	24	0	0	255	1
2080	0	9	6	16	193	104	5	41	0	0	255	1
2080	0	9	3	16	193	112	5	9	0	0	255	1
2080	0	9	1	16	193	8	5	18	0	0	255	1
2080	0	9	7	16	193	49	5	10	0	0	255	1
2080	0	9	4	16	193	49	5	33	0	0	255	0
2080	0	10	8	16	193	42	5	24	0	0	255	1
2080	0	10	6	16	193	104	5	41	0	0	255	1
2080	0	10	3	16	193	112	5	9	0	0	255	1
2080	0	10	1	16	193	8	5	18	0	0	255	1
2080	0	10	7	16	193	49	5	10	0	0	255	1
2080	0	10	4	16	193	49	5	33	0	0	255	0
2080	0	11	6	16	193	104	5	41	0	0	255	1
2080	0	11	8	16	193	42	5	24	0	0	255	1
2080	0	11	3	16	193	112	5	9	0	0	255	1
2080	0	11	1	16	193	8	5	18	0	0	255	1
2080	0	11	7	16	193	49	5	10	0	0	255	1
2080	0	11	4	16	193	49	5	33	0	0	255	0
2081	0	1	3	16	193	112	5	9	0	0	255	1
2081	0	1	4	16	193	49	5	33	0	0	255	1
2081	0	1	7	16	193	49	5	10	0	0	255	0
2081	0	2	3	16	193	112	5	9	0	0	255	1
2081	0	2	4	16	193	49	5	33	0	0	255	1
2081	0	2	7	16	193	49	5	10	0	0	255	0
2081	0	5	3	16	193	112	5	9	0	0	255	1
2081	0	5	4	16	193	49	5	33	0	0	255	1
2081	0	5	7	16	193	49	5	10	0	0	255	0
2081	0	6	3	16	193	112	5	9	0	0	255	1
2081	0	6	7	16	193	49	5	10	0	0	255	1
2081	0	6	4	16	193	49	5	33	0	0	255	0
2081	0	8	3	16	193	112	5	9	0	0	255	1
2081	0	8	7	16	193	49	5	10	0	0	255	1
2081	0	8	4	16	193	49	5	33	0	0	255	0
2081	0	9	3	16	193	112	5	9	0	0	255	1
2081	0	9	7	16	193	49	5	10	0	0	255	1
2081	0	9	4	16	193	49	5	33	0	0	255	0
2081	0	10	3	16	193	112	5	9	0	0	255	1
2081	0	10	7	16	193	49	5	10	0	0	255	1
2081	0	10	4	16	193	49	5	33	0	0	255	0
2081	0	11	3	16	193	112	5	9	0	0	255	1
2081	0	11	7	16	193	49	5	10	0	0	255	1
2081	0	11	4	16	193	49	5	33	0	0	255	0
2082	0	2	1	16	193	8	5	18	0	0	255	1
2082	0	2	5	16	193	10	5	4	0	0	255	1
2082	0	2	8	16	193	42	5	24	0	0	255	1
2082	0	2	11	16	193	146	5	7	0	0	255	1
2082	0	3	1	16	193	8	5	18	0	0	255	1
2082	0	3	5	16	193	10	5	4	0	0	255	1
2082	0	3	8	16	193	42	5	24	0	0	255	1
2082	0	3	11	16	193	146	5	7	0	0	255	1
2082	0	4	5	16	193	10	5	4	0	0	255	1
2082	0	4	1	16	193	8	5	18	0	0	255	1
2082	0	4	8	16	193	42	5	24	0	0	255	1
2082	0	4	11	16	193	146	5	7	0	0	255	1
2082	0	6	5	16	193	10	5	4	0	0	255	1
2082	0	6	8	16	193	42	5	24	0	0	255	1
2082	0	6	1	16	193	8	5	18	0	0	255	1
2082	0	6	11	16	193	146	5	7	0	0	255	1
2082	0	7	8	16	193	42	5	24	0	0	255	1
2082	0	7	5	16	193	10	5	4	0	0	255	1
2082	0	7	1	16	193	8	5	18	0	0	255	1
2082	0	7	11	16	193	146	5	7	0	0	255	1
2082	0	9	8	16	193	42	5	24	0	0	255	1
2082	0	9	5	16	193	10	5	4	0	0	255	1
2082	0	9	1	16	193	8	5	18	0	0	255	1
2082	0	9	11	16	193	146	5	7	0	0	255	1
2082	0	10	8	16	193	42	5	24	0	0	255	1
2082	0	10	5	16	193	10	5	4	0	0	255	1
2082	0	10	1	16	193	8	5	18	0	0	255	1
2082	0	10	11	16	193	146	5	7	0	0	255	1
2083	0	1	2	16	193	115	5	1	0	0	255	1
2083	0	3	2	16	193	115	5	1	0	0	255	1
2083	0	4	2	16	193	115	5	1	0	0	255	1
2083	0	5	2	16	193	115	5	1	0	0	255	1
2083	0	6	2	16	193	115	5	1	0	0	255	1
2083	0	7	2	16	193	115	5	1	0	0	255	1
2083	0	8	2	16	193	115	5	1	0	0	255	1
2083	0	9	2	16	193	115	5	1	0	0	255	1
2083	0	10	2	16	193	115	5	1	0	0	255	1
2083	0	11	2	16	193	115	5	1	0	0	255	1
2084	0	1	2	16	193	115	5	1	0	0	255	1
2084	0	1	5	16	193	10	5	4	0	0	255	1
2084	0	1	9	16	193	12	5	35	0	0	255	1
2084	0	1	10	16	193	132	5	39	0	0	255	1
2084	0	3	2	16	193	115	5	1	0	0	255	1
2084	0	3	5	16	193	10	5	4	0	0	255	1
2084	0	3	9	16	193	12	5	35	0	0	255	1
2084	0	3	10	16	193	132	5	39	0	0	255	1
2084	0	4	5	16	193	10	5	4	0	0	255	1
2084	0	4	2	16	193	115	5	1	0	0	255	1
2084	0	4	9	16	193	12	5	35	0	0	255	1
2084	0	4	10	16	193	132	5	39	0	0	255	1
2084	0	6	5	16	193	10	5	4	0	0	255	1
2084	0	6	9	16	193	12	5	35	0	0	255	1
2084	0	6	2	16	193	115	5	1	0	0	255	1
2084	0	6	10	16	193	132	5	39	0	0	255	1
2084	0	7	5	16	193	10	5	4	0	0	255	1
2084	0	7	9	16	193	12	5	35	0	0	255	1
2084	0	7	10	16	193	132	5	39	0	0	255	1
2084	0	7	2	16	193	115	5	1	0	0	255	1
2084	0	8	9	16	193	12	5	35	0	0	255	1
2084	0	8	10	16	193	132	5	39	0	0	255	1
2084	0	8	5	16	193	10	5	4	0	0	255	1
2084	0	8	2	16	193	115	5	1	0	0	255	1
2084	0	11	5	16	193	10	5	4	0	0	255	1
2084	0	11	9	16	193	12	5	35	0	0	255	1
2084	0	11	2	16	193	115	5	1	0	0	255	1
2084	0	11	10	16	193	132	5	39	0	0	255	1
2086	0	1	9	16	193	12	5	35	0	0	255	1
2086	0	2	9	16	193	12	5	35	0	0	255	1
2086	0	3	9	16	193	12	5	35	0	0	255	1
2086	0	4	9	16	193	12	5	35	0	0	255	1
2086	0	5	9	16	193	12	5	35	0	0	255	1
2086	0	6	9	16	193	12	5	35	0	0	255	1
2086	0	7	9	16	193	12	5	35	0	0	255	1
2086	0	8	9	16	193	12	5	35	0	0	255	1
2086	0	10	9	16	193	12	5	35	0	0	255	1
2086	0	11	9	16	193	12	5	35	0	0	255	1
2087	0	1	6	16	193	104	5	41	0	0	255	1
2087	0	1	10	16	193	132	5	39	0	0	255	1
2087	0	1	11	16	193	146	5	7	0	0	255	1
2087	0	2	6	16	193	104	5	41	0	0	255	1
2087	0	2	10	16	193	132	5	39	0	0	255	1
2087	0	2	11	16	193	146	5	7	0	0	255	1
2087	0	3	6	16	193	104	5	41	0	0	255	1
2087	0	3	10	16	193	132	5	39	0	0	255	1
2087	0	3	11	16	193	146	5	7	0	0	255	1
2087	0	4	6	16	193	104	5	41	0	0	255	1
