% time	cellId	IMSI	RNTI	scPrdStartFr	scPrdStartSf	schStartFr	schStartSf	currFr	currSf	mcs	TBS	psschRB	psschLen
2284	0	1	1	229	1	229	9	229	9	16	193	41	5
2292	0	1	1	229	1	229	9	230	7	16	193	41	5
2300	0	1	1	229	1	229	9	231	5	16	193	41	5
2308	0	1	1	229	1	229	9	232	3	16	193	41	5
2324	0	1	1	233	1	233	9	233	9	16	193	0	5
2332	0	1	1	233	1	233	9	234	7	16	193	0	5
2340	0	1	1	233	1	233	9	235	5	16	193	0	5
2348	0	1	1	233	1	233	9	236	3	16	193	0	5
2364	0	1	1	237	1	237	9	237	9	16	193	13	5
2372	0	1	1	237	1	237	9	238	7	16	193	13	5
2380	0	1	1	237	1	237	9	239	5	16	193	13	5
2388	0	1	1	237	1	237	9	240	3	16	193	13	5
2524	0	1	1	253	1	253	9	253	9	16	193	39	5
2532	0	1	1	253	1	253	9	254	7	16	193	39	5
2540	0	1	1	253	1	253	9	255	5	16	193	39	5
2548	0	1	1	253	1	253	9	256	3	16	193	39	5
2564	0	1	1	257	1	257	9	257	9	16	193	23	5
2572	0	1	1	257	1	257	9	258	7	16	193	23	5
2580	0	1	1	257	1	257	9	259	5	16	193	23	5
2588	0	1	1	257	1	257	9	260	3	16	193	23	5
2604	0	1	1	261	1	261	9	261	9	16	193	18	5
2612	0	1	1	261	1	261	9	262	7	16	193	18	5
2620	0	1	1	261	1	261	9	263	5	16	193	18	5
2628	0	1	1	261	1	261	9	264	3	16	193	18	5
2804	0	1	1	281	1	281	9	281	9	16	193	37	5
2812	0	1	1	281	1	281	9	282	7	16	193	37	5
2820	0	1	1	281	1	281	9	283	5	16	193	37	5
2828	0	1	1	281	1	281	9	284	3	16	193	37	5
2844	0	1	1	285	1	285	9	285	9	16	193	0	5
2852	0	1	1	285	1	285	9	286	7	16	193	0	5
2860	0	1	1	285	1	285	9	287	5	16	193	0	5
2868	0	1	1	285	1	285	9	288	3	16	193	0	5
2884	0	1	1	289	1	289	9	289	9	16	193	9	5
2892	0	1	1	289	1	289	9	290	7	16	193	9	5
2900	0	1	1	289	1	289	9	291	5	16	193	9	5
2908	0	1	1	289	1	289	9	292	3	16	193	9	5
3044	0	1	1	305	1	305	9	305	9	16	193	7	5
3052	0	1	1	305	1	305	9	306	7	16	193	7	5
3060	0	1	1	305	1	305	9	307	5	16	193	7	5
3068	0	1	1	305	1	305	9	308	3	16	193	7	5
3084	0	1	1	309	1	309	9	309	9	16	193	11	5
3092	0	1	1	309	1	309	9	310	7	16	193	11	5
3100	0	1	1	309	1	309	9	311	5	16	193	11	5
3108	0	1	1	309	1	309	9	312	3	16	193	11	5
3124	0	1	1	313	1	313	9	313	9	16	193	38	5
3132	0	1	1	313	1	313	9	314	7	16	193	38	5
3140	0	1	1	313	1	313	9	315	5	16	193	38	5
3148	0	1	1	313	1	313	9	316	3	16	193	38	5
3324	0	1	1	333	1	333	9	333	9	16	193	34	5
3332	0	1	1	333	1	333	9	334	7	16	193	34	5
3340	0	1	1	333	1	333	9	335	5	16	193	34	5
3348	0	1	1	333	1	333	9	336	3	16	193	34	5
3364	0	1	1	337	1	337	9	337	9	16	193	4	5
3372	0	1	1	337	1	337	9	338	7	16	193	4	5
3380	0	1	1	337	1	337	9	339	5	16	193	4	5
3388	0	1	1	337	1	337	9	340	3	16	193	4	5
3404	0	1	1	341	1	341	9	341	9	16	193	16	5
3412	0	1	1	341	1	341	9	342	7	16	193	16	5
3420	0	1	1	341	1	341	9	343	5	16	193	16	5
3428	0	1	1	341	1	341	9	344	3	16	193	16	5
3564	0	1	1	357	1	357	9	357	9	16	193	26	5
3572	0	1	1	357	1	357	9	358	7	16	193	26	5
3580	0	1	1	357	1	357	9	359	5	16	193	26	5
3588	0	1	1	357	1	357	9	360	3	16	193	26	5
3604	0	1	1	361	1	361	9	361	9	16	193	20	5
3612	0	1	1	361	1	361	9	362	7	16	193	20	5
3620	0	1	1	361	1	361	9	363	5	16	193	20	5
3628	0	1	1	361	1	361	9	364	3	16	193	20	5
3644	0	1	1	365	1	365	9	365	9	16	193	5	5
3652	0	1	1	365	1	365	9	366	7	16	193	5	5
3660	0	1	1	365	1	365	9	367	5	16	193	5	5
3668	0	1	1	365	1	365	9	368	3	16	193	5	5
3804	0	1	1	381	1	381	9	381	9	16	193	3	5
3812	0	1	1	381	1	381	9	382	7	16	193	3	5
3820	0	1	1	381	1	381	9	383	5	16	193	3	5
3828	0	1	1	381	1	381	9	384	3	16	193	3	5
3844	0	1	1	385	1	385	9	385	9	16	193	12	5
3852	0	1	1	385	1	385	9	386	7	16	193	12	5
3860	0	1	1	385	1	385	9	387	5	16	193	12	5
3868	0	1	1	385	1	385	9	388	3	16	193	12	5
3884	0	1	1	389	1	389	9	389	9	16	193	36	5
3892	0	1	1	389	1	389	9	390	7	16	193	36	5
3900	0	1	1	389	1	389	9	391	5	16	193	36	5
3908	0	1	1	389	1	389	9	392	3	16	193	36	5
4084	0	1	1	409	1	409	9	409	9	16	193	6	5
4092	0	1	1	409	1	409	9	410	7	16	193	6	5
4100	0	1	1	409	1	409	9	411	5	16	193	6	5
4108	0	1	1	409	1	409	9	412	3	16	193	6	5
4124	0	1	1	413	1	413	9	413	9	16	193	27	5
4132	0	1	1	413	1	413	9	414	7	16	193	27	5
4140	0	1	1	413	1	413	9	415	5	16	193	27	5
4148	0	1	1	413	1	413	9	416	3	16	193	27	5
4164	0	1	1	417	1	417	9	417	9	16	193	13	5
4172	0	1	1	417	1	417	9	418	7	16	193	13	5
4180	0	1	1	417	1	417	9	419	5	16	193	13	5
4188	0	1	1	417	1	417	9	420	3	16	193	13	5
4324	0	1	1	433	1	433	9	433	9	16	193	44	5
4332	0	1	1	433	1	433	9	434	7	16	193	44	5
4340	0	1	1	433	1	433	9	435	5	16	193	44	5
4348	0	1	1	433	1	433	9	436	3	16	193	44	5
4364	0	1	1	437	1	437	9	437	9	16	193	5	5
4372	0	1	1	437	1	437	9	438	7	16	193	5	5
4380	0	1	1	437	1	437	9	439	5	16	193	5	5
4388	0	1	1	437	1	437	9	440	3	16	193	5	5
4404	0	1	1	441	1	441	9	441	9	16	193	37	5
4412	0	1	1	441	1	441	9	442	7	16	193	37	5
4420	0	1	1	441	1	441	9	443	5	16	193	37	5
4428	0	1	1	441	1	441	9	444	3	16	193	37	5
4604	0	1	1	461	1	461	9	461	9	16	193	25	5
4612	0	1	1	461	1	461	9	462	7	16	193	25	5
4620	0	1	1	461	1	461	9	463	5	16	193	25	5
4628	0	1	1	461	1	461	9	464	3	16	193	25	5
4644	0	1	1	465	1	465	9	465	9	16	193	7	5
4652	0	1	1	465	1	465	9	466	7	16	193	7	5
4660	0	1	1	465	1	465	9	467	5	16	193	7	5
4668	0	1	1	465	1	465	9	468	3	16	193	7	5
4684	0	1	1	469	1	469	9	469	9	16	193	38	5
4692	0	1	1	469	1	469	9	470	7	16	193	38	5
4700	0	1	1	469	1	469	9	471	5	16	193	38	5
4708	0	1	1	469	1	469	9	472	3	16	193	38	5
4844	0	1	1	485	1	485	9	485	9	16	193	29	5
4852	0	1	1	485	1	485	9	486	7	16	193	29	5
4860	0	1	1	485	1	485	9	487	5	16	193	29	5
4868	0	1	1	485	1	485	9	488	3	16	193	29	5
4884	0	1	1	489	1	489	9	489	9	16	193	43	5
4892	0	1	1	489	1	489	9	490	7	16	193	43	5
4900	0	1	1	489	1	489	9	491	5	16	193	43	5
4908	0	1	1	489	1	489	9	492	3	16	193	43	5
4924	0	1	1	493	1	493	9	493	9	16	193	22	5
4932	0	1	1	493	1	493	9	494	7	16	193	22	5
4940	0	1	1	493	1	493	9	495	5	16	193	22	5
4948	0	1	1	493	1	493	9	496	3	16	193	22	5
