% time	cellId	IMSI	RNTI	frame	sframe	resPscch	pscchFr1	pscchSf1	pscchFr2	pscchSf2	mcs	TBS	psschRB	psschLen	psschItrp
2076	0	1	1	209	1	8	209	1	209	3	16	193	18	5	0
2076	0	2	2	209	1	115	209	4	209	5	16	193	1	5	0
2076	0	3	3	209	1	112	209	1	209	2	16	193	9	5	0
2076	0	4	4	209	1	49	209	1	209	2	16	193	33	5	0
2076	0	5	5	209	1	10	209	3	209	5	16	193	4	5	0
2076	0	6	6	209	1	104	209	1	209	8	16	193	41	5	0
2076	0	7	7	209	1	49	209	1	209	2	16	193	10	5	0
2076	0	8	8	209	1	42	209	1	209	3	16	193	24	5	0
2076	0	9	9	209	1	12	209	5	209	7	16	193	35	5	0
2076	0	10	10	209	1	132	209	5	209	8	16	193	39	5	0
2076	0	11	11	209	1	146	209	3	209	8	16	193	7	5	0
2156	0	1	1	217	1	167	217	7	217	8	16	193	0	5	0
2156	0	2	2	217	1	10	217	3	217	5	16	193	11	5	0
2156	0	3	3	217	1	97	217	2	217	8	16	193	17	5	0
2156	0	4	4	217	1	29	217	2	217	6	16	193	37	5	0
2156	0	5	5	217	1	11	217	4	217	6	16	193	1	5	0
2156	0	6	6	217	1	79	217	3	217	8	16	193	33	5	0
2156	0	7	7	217	1	139	217	4	217	8	16	193	45	5	0
2156	0	8	8	217	1	164	217	4	217	5	16	193	8	5	0
2156	0	9	9	217	1	102	217	5	217	7	16	193	19	5	0
2156	0	10	10	217	1	113	217	2	217	3	16	193	21	5	0
2156	0	11	11	217	1	67	217	4	217	6	16	193	27	5	0
2196	0	1	1	221	1	10	221	3	221	5	16	193	2	5	0
2196	0	2	2	221	1	160	221	1	221	8	16	193	36	5	0
2196	0	3	3	221	1	161	221	1	221	2	16	193	4	5	0
2196	0	4	4	221	1	116	221	5	221	6	16	193	16	5	0
2196	0	5	5	221	1	129	221	2	221	5	16	193	11	5	0
2196	0	6	6	221	1	93	221	3	221	6	16	193	6	5	0
2196	0	7	7	221	1	150	221	4	221	7	16	193	18	5	0
2196	0	8	8	221	1	78	221	2	221	7	16	193	25	5	0
2196	0	9	9	221	1	30	221	3	221	7	16	193	21	5	0
2196	0	10	10	221	1	132	221	5	221	8	16	193	2	5	0
2196	0	11	11	221	1	147	221	1	221	4	16	193	15	5	0
2276	0	1	1	229	1	89	229	2	229	7	16	193	26	5	0
2276	0	2	2	229	1	105	229	1	229	2	16	193	36	5	0
2276	0	3	3	229	1	38	229	4	229	7	16	193	30	5	0
2276	0	4	4	229	1	153	229	2	229	8	16	193	43	5	0
2276	0	5	5	229	1	136	229	1	229	5	16	193	39	5	0
2276	0	6	6	229	1	36	229	2	229	5	16	193	41	5	0
2276	0	7	7	229	1	122	229	3	229	5	16	193	38	5	0
2276	0	8	8	229	1	132	229	5	229	8	16	193	7	5	0
2276	0	9	9	229	1	159	229	6	229	8	16	193	20	5	0
2276	0	10	10	229	1	63	229	1	229	8	16	193	11	5	0
2276	0	11	11	229	1	34	229	3	229	8	16	193	20	5	0
2356	0	1	1	237	1	12	237	5	237	7	16	193	23	5	0
2356	0	2	2	237	1	70	237	1	237	7	16	193	7	5	0
2356	0	3	3	237	1	170	237	3	237	4	16	193	21	5	0
2356	0	4	4	237	1	160	237	1	237	8	16	193	30	5	0
2356	0	5	5	237	1	89	237	2	237	7	16	193	12	5	0
2356	0	6	6	237	1	46	237	5	237	7	16	193	11	5	0
2356	0	7	7	237	1	42	237	1	237	3	16	193	0	5	0
2356	0	8	8	237	1	173	237	6	237	7	16	193	4	5	0
2356	0	9	9	237	1	127	237	2	237	8	16	193	19	5	0
2356	0	10	10	237	1	169	237	2	237	3	16	193	27	5	0
2356	0	11	11	237	1	143	237	4	237	8	16	193	14	5	0
2396	0	1	1	241	1	40	241	1	241	7	16	193	16	5	0
2396	0	2	2	241	1	163	241	3	241	4	16	193	10	5	0
2396	0	3	3	241	1	74	241	3	241	6	16	193	14	5	0
2396	0	4	4	241	1	134	241	2	241	7	16	193	37	5	0
2396	0	5	5	241	1	56	241	1	241	2	16	193	44	5	0
2396	0	6	6	241	1	42	241	1	241	3	16	193	5	5	0
2396	0	7	7	241	1	81	241	2	241	6	16	193	2	5	0
2396	0	8	8	241	1	114	241	3	241	4	16	193	14	5	0
2396	0	9	9	241	1	160	241	1	241	8	16	193	22	5	0
2396	0	10	10	241	1	83	241	4	241	8	16	193	20	5	0
2396	0	11	11	241	1	93	241	3	241	6	16	193	2	5	0
2476	0	1	1	249	1	46	249	5	249	7	16	193	40	5	0
2476	0	2	2	249	1	88	249	1	249	6	16	193	7	5	0
2476	0	3	3	249	1	149	249	3	249	6	16	193	39	5	0
2476	0	4	4	249	1	14	249	1	249	7	16	193	13	5	0
2476	0	5	5	249	1	11	249	4	249	6	16	193	28	5	0
2476	0	6	6	249	1	59	249	4	249	5	16	193	15	5	0
2476	0	7	7	249	1	52	249	4	249	5	16	193	33	5	0
2476	0	8	8	249	1	71	249	2	249	8	16	193	41	5	0
2476	0	9	9	249	1	152	249	1	249	7	16	193	39	5	0
2476	0	10	10	249	1	29	249	2	249	6	16	193	9	5	0
2476	0	11	11	249	1	31	249	4	249	8	16	193	5	5	0
2516	0	1	1	253	1	95	253	5	253	8	16	193	37	5	0
2516	0	2	2	253	1	69	253	6	253	8	16	193	4	5	0
2516	0	3	3	253	1	65	253	2	253	4	16	193	18	5	0
2516	0	4	4	253	1	48	253	1	253	8	16	193	38	5	0
2516	0	5	5	253	1	4	253	5	253	6	16	193	25	5	0
2516	0	6	6	253	1	79	253	3	253	8	16	193	3	5	0
2516	0	7	7	253	1	115	253	4	253	5	16	193	45	5	0
2516	0	8	8	253	1	130	253	3	253	6	16	193	18	5	0
2516	0	9	9	253	1	47	253	6	253	8	16	193	40	5	0
2516	0	10	10	253	1	133	253	1	253	6	16	193	23	5	0
2516	0	11	11	253	1	115	253	4	253	5	16	193	30	5	0
2596	0	1	1	261	1	100	261	3	261	5	16	193	17	5	0
2596	0	2	2	261	1	125	261	6	261	8	16	193	37	5	0
2596	0	3	3	261	1	130	261	3	261	6	16	193	31	5	0
2596	0	4	4	261	1	164	261	4	261	5	16	193	11	5	0
2596	0	5	5	261	1	39	261	5	261	8	16	193	32	5	0
2596	0	6	6	261	1	144	261	1	261	6	16	193	15	5	0
2596	0	7	7	261	1	54	261	6	261	7	16	193	41	5	0
2596	0	8	8	261	1	133	261	1	261	6	16	193	5	5	0
2596	0	9	9	261	1	173	261	6	261	7	16	193	34	5	0
2596	0	10	10	261	1	4	261	5	261	6	16	193	6	5	0
2596	0	11	11	261	1	1	261	2	261	3	16	193	11	5	0
2676	0	1	1	269	1	24	269	1	269	5	16	193	44	5	0
2676	0	2	2	269	1	46	269	5	269	7	16	193	11	5	0
2676	0	3	3	269	1	33	269	2	269	7	16	193	10	5	0
2676	0	4	4	269	1	62	269	7	269	8	16	193	16	5	0
2676	0	5	5	269	1	173	269	6	269	7	16	193	2	5	0
2676	0	6	6	269	1	37	269	3	269	6	16	193	41	5	0
2676	0	7	7	269	1	72	269	1	269	4	16	193	20	5	0
2676	0	8	8	269	1	31	269	4	269	8	16	193	32	5	0
