Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	0	0	0	0
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	0	0	0	0
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	0	0	0	0
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	0	0	0	0
0.5	9	combined	Drop	0	0	0	0
0.5	10	combined	Drop	0	0	0	0
0.5	11	combined	Drop	0	0	0	0
0.5	12	combined	Drop	0	0	0	0
0.5	13	combined	Drop	0	0	0	0
0.5	14	combined	Drop	0	0	0	0
0.5	15	combined	Drop	0	0	0	0
0.5	16	combined	Drop	0	0	0	0
0.5	17	combined	Drop	0	0	0	0
0.5	18	combined	Drop	0	0	0	0
0.5	19	combined	Drop	0	0	0	0
0.5	20	combined	Drop	0	0	0	0
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	0	0	0	0
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	0	0	0	0
1	9	combined	Drop	0	0	0	0
1	10	combined	Drop	0	0	0	0
1	11	combined	Drop	0	0	0	0
1	12	combined	Drop	0	0	0	0
1	13	combined	Drop	0	0	0	0
1	14	combined	Drop	0	0	0	0
1	15	combined	Drop	0	0	0	0
1	16	combined	Drop	0	0	0	0
1	17	combined	Drop	0	0	0	0
1	18	combined	Drop	0	0	0	0
1	19	combined	Drop	0	0	0	0
1	20	combined	Drop	0	0	0	0
1.5	0	combined	Drop	0	0	0	0
1.5	1	combined	Drop	0	0	0	0
1.5	2	combined	Drop	0	0	0	0
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	0	0	0	0
1.5	5	combined	Drop	0	0	0	0
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	0	0	0	0
1.5	9	combined	Drop	0	0	0	0
1.5	10	combined	Drop	0	0	0	0
1.5	11	combined	Drop	0	0	0	0
1.5	12	combined	Drop	0	0	0	0
1.5	13	combined	Drop	0	0	0	0
1.5	14	combined	Drop	0	0	0	0
1.5	15	combined	Drop	0	0	0	0
1.5	16	combined	Drop	0	0	0	0
1.5	17	combined	Drop	0	0	0	0
1.5	18	combined	Drop	0	0	0	0
1.5	19	combined	Drop	0	0	0	0
1.5	20	combined	Drop	0	0	0	0
2	0	combined	Drop	0	0	0	0
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	0	0	0	0
2	5	combined	Drop	0	0	0	0
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	0	0	0	0
2	8	combined	Drop	0	0	0	0
2	9	combined	Drop	0	0	0	0
2	10	combined	Drop	0	0	0	0
2	11	combined	Drop	0	0	0	0
2	12	combined	Drop	0	0	0	0
2	13	combined	Drop	0	0	0	0
2	14	combined	Drop	0	0	0	0
2	15	combined	Drop	0	0	0	0
2	16	combined	Drop	0	0	0	0
2	17	combined	Drop	0	0	0	0
2	18	combined	Drop	0	0	0	0
2	19	combined	Drop	0	0	0	0
2	20	combined	Drop	0	0	0	0
2.5	0	combined	Drop	0	0	0	0
2.5	1	combined	Drop	0	0	0	0
2.5	2	combined	Drop	0	0	0	0
2.5	3	combined	Drop	0	0	0	0
2.5	4	combined	Drop	0	0	0	0
2.5	5	combined	Drop	0	0	0	0
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	0	0	0	0
2.5	8	combined	Drop	0	0	0	0
2.5	9	combined	Drop	0	0	0	0
2.5	10	combined	Drop	0	0	0	0
2.5	11	combined	Drop	0	0	0	0
2.5	12	combined	Drop	0	0	0	0
2.5	13	combined	Drop	0	0	0	0
