+1000000000.0ns POS: x=7.6, y=92, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=7.6, y=92, z=0; VEL:1.99, y=0, z=0
+3000000000.0ns POS: x=9.59, y=92, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=9.59, y=92, z=0; VEL:2.83096, y=2.4287, z=0
+4000000000.0ns POS: x=12.421, y=94.4287, z=0; VEL:5.8624, y=0.665043, z=0
+5000000000.0ns POS: x=18.2834, y=95.0937, z=0; VEL:8.13944, y=0.0952838, z=0
+5000000000.0ns POS: x=5.1, y=92, z=0; VEL:0, y=0, z=0
+6000000000.0ns POS: x=26.4228, y=95.189, z=0; VEL:10.94, y=0.0101056, z=0
+6000000000.0ns POS: x=5.1, y=92, z=0; VEL:4.98, y=0, z=0
+7000000000.0ns POS: x=10.08, y=92, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=37.3628, y=95.1991, z=0; VEL:13, y=0.00080751, z=0
+7000000000.0ns POS: x=10.08, y=92, z=0; VEL:9.59, y=0, z=0
+8000000000.0ns POS: x=19.67, y=92, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=50.3628, y=95.1999, z=0; VEL:15.09, y=5.48116e-05, z=0
+8000000000.0ns POS: x=19.67, y=92, z=0; VEL:13.99, y=0, z=0
+9000000000.0ns POS: x=33.66, y=92, z=0; VEL:0, y=0, z=0
+9000000000.0ns POS: x=65.4528, y=95.2, z=0; VEL:11.52, y=3.14559e-06, z=0
+9000000000.0ns POS: x=33.66, y=92, z=0; VEL:18.64, y=0, z=0
+10000000000.0ns POS: x=76.9728, y=95.2, z=0; VEL:6.63, y=2.26607e-07, z=0
+10000000000.0ns POS: x=52.3, y=92, z=0; VEL:13.04, y=0, z=0
+11000000000.0ns POS: x=83.6028, y=95.2, z=0; VEL:0.63, y=1.28769e-08, z=0
+11000000000.0ns POS: x=65.34, y=92, z=0; VEL:11.46, y=0, z=0
+12000000000.0ns POS: x=84.2328, y=95.2, z=0; VEL:0.19, y=3.2289e-09, z=0
+12000000000.0ns POS: x=76.8, y=92, z=0; VEL:6.21, y=0, z=0
+13000000000.0ns POS: x=84.4228, y=95.2, z=0; VEL:0.03, y=4.94013e-10, z=0
+13000000000.0ns POS: x=83.01, y=92, z=0; VEL:1.7, y=0, z=0
+14000000000.0ns POS: x=84.4528, y=95.2, z=0; VEL:0.01, y=1.62933e-10, z=0
+14000000000.0ns POS: x=84.71, y=92, z=0; VEL:0.52, y=0, z=0
+15000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+15000000000.0ns POS: x=85.23, y=92, z=0; VEL:0.11, y=0, z=0
+15000000000.0ns POS: x=108, y=7.6, z=0; VEL:0, y=0, z=0
+16000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+16000000000.0ns POS: x=85.34, y=92, z=0; VEL:0.05, y=0, z=0
+16000000000.0ns POS: x=108, y=7.6, z=0; VEL:0, y=1.92, z=0
+17000000000.0ns POS: x=108, y=9.52, z=0; VEL:0, y=0, z=0
+17000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+17000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+17000000000.0ns POS: x=108, y=9.52, z=0; VEL:0, y=4.1, z=0
+18000000000.0ns POS: x=108, y=13.62, z=0; VEL:0, y=0, z=0
+18000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+18000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+18000000000.0ns POS: x=108, y=13.62, z=0; VEL:0, y=6.24, z=0
+19000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+19000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+19000000000.0ns POS: x=108, y=19.86, z=0; VEL:0, y=7.94, z=0
+20000000000.0ns POS: x=108, y=27.8, z=0; VEL:0, y=0, z=0
+20000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+20000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+20000000000.0ns POS: x=108, y=27.8, z=0; VEL:0, y=10.8, z=0
+21000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+21000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+21000000000.0ns POS: x=108, y=38.6, z=0; VEL:0, y=13, z=0
+22000000000.0ns POS: x=108, y=51.6, z=0; VEL:0, y=0, z=0
+22000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+22000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+22000000000.0ns POS: x=108, y=51.6, z=0; VEL:0, y=15.99, z=0
+23000000000.0ns POS: x=108, y=67.59, z=0; VEL:0, y=0, z=0
+23000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+23000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+23000000000.0ns POS: x=108, y=67.59, z=0; VEL:0, y=18.7, z=0
+24000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+24000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+24000000000.0ns POS: x=108, y=86.29, z=0; VEL:0, y=14.62, z=0
+25000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+25000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+25000000000.0ns POS: x=108, y=100.91, z=0; VEL:0, y=12.01, z=0
+25000000000.0ns POS: x=92, y=194.9, z=0; VEL:0, y=0, z=0
+26000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+26000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+26000000000.0ns POS: x=108, y=112.92, z=0; VEL:0, y=10.56, z=0
+26000000000.0ns POS: x=92, y=194.9, z=0; VEL:0, y=-0.6, z=0
+26999999999.0ns POS: x=92, y=194.3, z=0; VEL:0, y=0, z=0
+27000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+27000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+27000000000.0ns POS: x=108, y=123.48, z=0; VEL:0, y=11.44, z=0
+27000000000.0ns POS: x=92, y=194.3, z=0; VEL:0, y=-1.23, z=0
+27991869918.0ns POS: x=92, y=193.08, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=108, y=134.92, z=0; VEL:0, y=10.98, z=0
+28000000000.0ns POS: x=92, y=193.08, z=0; VEL:0, y=-1.95, z=0
+29000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+29000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+29000000000.0ns POS: x=108, y=145.9, z=0; VEL:0, y=10.39, z=0
+29000000000.0ns POS: x=92, y=191.13, z=0; VEL:0, y=-2.53, z=0
+30000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+30000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+30000000000.0ns POS: x=108, y=156.29, z=0; VEL:0, y=10.46, z=0
+30000000000.0ns POS: x=92, y=188.6, z=0; VEL:0, y=-3.32, z=0
+31000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+31000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+31000000000.0ns POS: x=108, y=166.75, z=0; VEL:0, y=10.42, z=0
