+1000000000.0ns POS: x=5.1, y=92, z=0; VEL:14.6699, y=3.12958, z=0
+1000000000.0ns POS: x=108, y=5.1, z=0; VEL:0, y=20, z=0
+1000000000.0ns POS: x=92, y=194.9, z=0; VEL:0, y=-18, z=0
+2000000000.0ns POS: x=108, y=25.1, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=92, y=176.9, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=19.7699, y=95.1296, z=0; VEL:14.9998, y=0.0689058, z=0
+2000000000.0ns POS: x=5.1, y=92, z=0; VEL:10, y=0, z=0
+2000000000.0ns POS: x=108, y=25.1, z=0; VEL:0, y=20, z=0
+2000000000.0ns POS: x=92, y=176.9, z=0; VEL:0, y=-18, z=0
+3000000000.0ns POS: x=15.1, y=92, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=108, y=45.1, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=92, y=158.9, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=34.7697, y=95.1985, z=0; VEL:15, y=0.00148448, z=0
+3000000000.0ns POS: x=15.1, y=92, z=0; VEL:10, y=0, z=0
+3000000000.0ns POS: x=108, y=45.1, z=0; VEL:0, y=16.82, z=0
+3000000000.0ns POS: x=92, y=158.9, z=0; VEL:0, y=-17.82, z=0
+3999999999.0ns POS: x=92, y=141.08, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=25.1, y=92, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=108, y=61.92, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=49.7697, y=95.2, z=0; VEL:15, y=3.19807e-05, z=0
+4000000000.0ns POS: x=25.1, y=92, z=0; VEL:10, y=0, z=0
+4000000000.0ns POS: x=108, y=61.92, z=0; VEL:0, y=12.32, z=0
+4000000000.0ns POS: x=92, y=141.08, z=0; VEL:0, y=-13.32, z=0
+5000000000.0ns POS: x=35.1, y=92, z=0; VEL:0, y=0, z=0
+5000000000.0ns POS: x=64.7697, y=95.2, z=0; VEL:11.27, y=6.84095e-07, z=0
+5000000000.0ns POS: x=35.1, y=92, z=0; VEL:10, y=0, z=0
+5000000000.0ns POS: x=108, y=74.24, z=0; VEL:0, y=7.82, z=0
+5000000000.0ns POS: x=92, y=127.76, z=0; VEL:0, y=-8.82, z=0
+6000000000.0ns POS: x=45.1, y=92, z=0; VEL:0, y=0, z=0
+6000000000.0ns POS: x=76.0397, y=95.2, z=0; VEL:6.77, y=1.91418e-08, z=0
+6000000000.0ns POS: x=45.1, y=92, z=0; VEL:10, y=0, z=0
+6000000000.0ns POS: x=108, y=82.06, z=0; VEL:0, y=3.32, z=0
+6000000000.0ns POS: x=92, y=118.94, z=0; VEL:0, y=-4.32, z=0
+7000000000.0ns POS: x=55.1, y=92, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=82.8097, y=95.2, z=0; VEL:2.27, y=7.93568e-10, z=0
+7000000000.0ns POS: x=55.1, y=92, z=0; VEL:10, y=0, z=0
+7000000000.0ns POS: x=108, y=85.38, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=92, y=114.62, z=0; VEL:0, y=0, z=0
+7999999999.0ns POS: x=65.1, y=92, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=85.0797, y=95.2, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=65.1, y=92, z=0; VEL:10, y=0, z=0
+8000000000.0ns POS: x=108, y=85.38, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=92, y=114.62, z=0; VEL:0, y=0, z=0
