Node,Time,Name,Action,X,Y
1,2,0,Received,0,0
1,2,0,Broadcast,0,0
3,2.04893,0,Received,100,0
2,2.05693,0,Received,125,0
2,2.05693,0,Broadcast,125,0
1,3,1,Received,0,0
1,3,1,Broadcast,0,0
3,3.04893,1,Received,100,0
2,3.05693,1,Received,125,0
2,3.05693,1,Broadcast,125,0
1,4,2,Received,0,0
1,4,2,Broadcast,0,0
3,4.04893,2,Received,100,0
2,4.05693,2,Received,125,0
2,4.05693,2,Broadcast,125,0
1,5,3,Received,0,0
1,5,3,Broadcast,0,0
3,5.04893,3,Received,100,0
2,5.05693,3,Received,125,0
2,5.05693,3,Broadcast,125,0
1,6,4,Received,0,0
1,6,4,Broadcast,0,0
3,6.04893,4,Received,100,0
2,6.05693,4,Received,125,0
2,6.05693,4,Broadcast,125,0
1,7,5,Received,0,0
1,7,5,Broadcast,0,0
3,7.04893,5,Received,100,0
2,7.05693,5,Received,125,0
2,7.05693,5,Broadcast,125,0
1,8,6,Received,0,0
1,8,6,Broadcast,0,0
3,8.04893,6,Received,100,0
2,8.05693,6,Received,125,0
2,8.05693,6,Broadcast,125,0
1,9,7,Received,0,0
1,9,7,Broadcast,0,0
3,9.04893,7,Received,100,0
2,9.05693,7,Received,125,0
2,9.05693,7,Broadcast,125,0
