Node,Time,Name,Action,X,Y
1,2,0,Received,20,0
1,2,0,Broadcast,20,0
2,2.04893,0,Received,100,0
3,2.04893,0,Received,380.489,4
4,2.04893,0,Received,10.2446,16
5,2.04893,0,Received,340.489,4
6,2.04893,0,Received,260,12
7,2.04893,0,Received,200.489,0
8,2.04893,0,Received,80,0
9,2.04893,0,Received,180.489,4
10,2.04893,0,Received,370.245,0
11,2.04893,0,Received,300.489,8
12,2.04893,0,Received,320,8
13,2.04893,0,Received,60.4893,8
15,2.04893,0,Received,360.489,12
16,2.04893,0,Received,150.245,4
17,2.04893,0,Received,40.4893,12
18,2.04893,0,Received,0,8
19,2.04893,0,Received,20.4893,8
20,2.04893,0,Received,160,4
14,2.05693,0,Received,400,8
6,2.2559,0,Broadcast,260,12
10,2.2715,0,Broadcast,371.358,0
17,2.2802,0,Broadcast,42.802,12
8,2.28306,0,Broadcast,80,0
1,2.28893,0,Duplicate,22.8893,0
2,2.28893,0,Duplicate,100,0
2,2.28893,0,Suppressed,100,0
3,2.28893,0,Duplicate,382.889,4
3,2.28893,0,Duplicate,382.889,4
4,2.28893,0,Duplicate,11.4446,16
4,2.28893,0,Suppressed,11.4446,16
5,2.28893,0,Duplicate,342.889,4
5,2.28893,0,Duplicate,342.889,4
5,2.28893,0,Suppressed,342.889,4
7,2.28893,0,Duplicate,202.889,0
7,2.28893,0,Suppressed,202.889,0
7,2.28893,0,Duplicate,202.889,0
8,2.28893,0,Duplicate,80,0
8,2.28893,0,Suppressed,80,0
9,2.28893,0,Duplicate,182.889,4
9,2.28893,0,Suppressed,182.889,4
9,2.28893,0,Duplicate,182.889,4
11,2.28893,0,Duplicate,302.889,8
11,2.28893,0,Duplicate,302.889,8
11,2.28893,0,Suppressed,302.889,8
12,2.28893,0,Duplicate,320,8
12,2.28893,0,Duplicate,320,8
12,2.28893,0,Suppressed,320,8
13,2.28893,0,Duplicate,62.8893,8
13,2.28893,0,Suppressed,62.8893,8
14,2.28893,0,Duplicate,400,8
14,2.28893,0,Duplicate,400,8
15,2.28893,0,Duplicate,362.889,12
15,2.28893,0,Duplicate,362.889,12
15,2.28893,0,Suppressed,362.889,12
16,2.28893,0,Duplicate,151.445,4
16,2.28893,0,Suppressed,151.445,4
16,2.28893,0,Duplicate,151.445,4
17,2.28893,0,Duplicate,42.8893,12
17,2.28893,0,Suppressed,42.8893,12
18,2.28893,0,Duplicate,0,8
19,2.28893,0,Duplicate,22.8893,8
19,2.28893,0,Suppressed,22.8893,8
20,2.28893,0,Duplicate,160,4
20,2.28893,0,Suppressed,160,4
20,2.28893,0,Duplicate,160,4
2,2.29693,0,Duplicate,100,0
8,2.29693,0,Duplicate,80,0
13,2.29693,0,Duplicate,62.9693,8
1,2.30493,0,Duplicate,23.0493,0
4,2.30493,0,Duplicate,11.5246,16
17,2.30493,0,Duplicate,43.0493,12
18,2.30493,0,Duplicate,0,8
19,2.30493,0,Duplicate,23.0493,8
14,2.305,0,Broadcast,400,8
3,2.3218,0,Broadcast,383.218,4
1,2.32893,0,Duplicate,23.2893,0
1,2.32893,0,Duplicate,23.2893,0
2,2.32893,0,Duplicate,100,0
2,2.32893,0,Duplicate,100,0
2,2.32893,0,Duplicate,100,0
3,2.32893,0,Duplicate,383.289,4
3,2.32893,0,Duplicate,383.289,4
3,2.32893,0,Suppressed,383.289,4
3,2.32893,0,Duplicate,383.289,4
4,2.32893,0,Duplicate,11.6446,16
4,2.32893,0,Duplicate,11.6446,16
5,2.32893,0,Duplicate,343.289,4
