Node,Time,Name,Action,X,Y
1,2.61837,0,Received,126.184,20
1,2.61837,0,Broadcast,126.184,20
2,2.64893,0,Received,144.41,5
6,2.64893,0,Received,11.9194,15
8,2.64893,0,Received,184.476,0
9,2.64893,0,Received,207.668,5
14,2.64893,0,Received,204.736,10
17,2.67293,0,Received,722.207,15
9,2.67558,0,Broadcast,207.934,5
2,2.68893,0,Duplicate,144.41,5
2,2.68893,0,Suppressed,144.41,5
6,2.68893,0,Duplicate,11.9194,15
8,2.68893,0,Duplicate,184.476,0
8,2.68893,0,Suppressed,184.476,0
14,2.68893,0,Duplicate,204.736,10
14,2.68893,0,Suppressed,204.736,10
1,2.68893,0,Duplicate,126.889,20
17,2.70493,0,Duplicate,722.527,15
20,2.71293,0,Received,789.169,5
20,2.79122,0,Broadcast,789.169,5
4,2.80893,0,Received,859.918,0
13,2.80893,0,Received,1063.78,15
17,2.80893,0,Duplicate,723.567,15
18,2.80893,0,Received,1099.18,0
3,2.81693,0,Received,1245.88,0
14,2.83293,0,Duplicate,204.736,10
13,2.85648,0,Broadcast,1064.25,15
18,2.88349,0,Broadcast,1099.18,0
3,2.88893,0,Duplicate,1246.6,0
4,2.88893,0,Duplicate,860.318,0
4,2.88893,0,Suppressed,860.318,0
17,2.88893,0,Duplicate,724.367,15
18,2.88893,0,Duplicate,1099.18,0
20,2.88893,0,Duplicate,789.169,5
20,2.88893,0,Suppressed,789.169,5
3,2.89434,0,Broadcast,1246.65,0
15,2.89693,0,Received,1543.59,0
19,2.89693,0,Received,1434.27,15
11,2.90493,0,Received,1551.9,15
4,2.92893,0,Duplicate,860.518,0
11,2.92893,0,Duplicate,1552.14,15
13,2.92893,0,Duplicate,1064.98,15
13,2.92893,0,Suppressed,1064.98,15
13,2.92893,0,Duplicate,1064.98,15
15,2.92893,0,Duplicate,1543.91,0
19,2.92893,0,Duplicate,1434.59,15
19,2.92893,0,Duplicate,1434.59,15
20,2.92893,0,Duplicate,789.169,5
4,2.93693,0,Duplicate,860.558,0
11,2.93693,0,Duplicate,1552.22,15
15,2.93693,0,Duplicate,1543.99,0
17,2.93693,0,Duplicate,724.847,15
20,2.93693,0,Duplicate,789.169,5
12,2.94493,0,Received,1715.96,15
17,2.94493,0,Duplicate,724.927,15
15,2.9495,0,Broadcast,1544.12,0
19,2.95642,0,Broadcast,1434.86,15
3,2.96893,0,Duplicate,1247.4,0
3,2.96893,0,Suppressed,1247.4,0
11,2.96893,0,Duplicate,1552.54,15
12,2.96893,0,Duplicate,1715.96,15
19,2.96893,0,Duplicate,1434.99,15
19,2.96893,0,Suppressed,1434.99,15
13,2.97693,0,Duplicate,1065.46,15
18,2.97693,0,Duplicate,1099.18,0
18,2.97693,0,Suppressed,1099.18,0
11,2.98578,0,Broadcast,1552.71,15
12,2.99487,0,Broadcast,1715.96,15
3,3.00893,0,Duplicate,1247.8,0
3,3.00893,0,Duplicate,1247.8,0
13,3.00893,0,Duplicate,1065.78,15
15,3.00893,0,Duplicate,1544.71,0
15,3.00893,0,Suppressed,1544.71,0
15,3.00893,0,Duplicate,1544.71,0
15,3.00893,0,Duplicate,1544.71,0
18,3.00893,0,Duplicate,1099.18,0
3,3.01693,0,Duplicate,1247.88,0
18,3.01693,0,Duplicate,1099.18,0
13,3.02493,0,Duplicate,1065.94,15
4,3.03293,0,Duplicate,861.038,0
1,3.54868,1,Received,135.487,20
1,3.54868,1,Broadcast,135.487,20
2,3.56893,1,Received,144.41,5
6,3.56893,1,Received,11.9194,15
8,3.56893,1,Received,184.476,0
9,3.56893,1,Received,216.868,5
14,3.56893,1,Received,204.736,10
14,3.59312,1,Broadcast,204.736,10
9,3.60617,1,Broadcast,217.24,5
2,3.60893,1,Duplicate,144.41,5
2,3.60893,1,Suppressed,144.41,5
6,3.60893,1,Duplicate,11.9194,15
8,3.60893,1,Duplicate,184.476,0
8,3.60893,1,Suppressed,184.476,0
9,3.60893,1,Duplicate,217.268,5
1,3.60893,1,Duplicate,136.089,20
17,3.62493,1,Received,731.727,15
20,3.63293,1,Received,789.169,5
2,3.64893,1,Duplicate,144.41,5
6,3.64893,1,Duplicate,11.9194,15
8,3.64893,1,Duplicate,184.476,0
14,3.64893,1,Duplicate,204.736,10
14,3.64893,1,Suppressed,204.736,10
1,3.64893,1,Duplicate,136.489,20
17,3.66493,1,Duplicate,732.127,15
20,3.67293,1,Duplicate,789.169,5
20,3.69836,1,Broadcast,789.169,5
4,3.72893,1,Received,864.518,0
13,3.72893,1,Received,1072.98,15
17,3.72893,1,Duplicate,732.767,15
18,3.72893,1,Received,1099.18,0
3,3.73693,1,Received,1255.08,0
14,3.75293,1,Duplicate,204.736,10
3,3.77966,1,Broadcast,1255.51,0
4,3.78117,1,Broadcast,864.779,0
13,3.78594,1,Broadcast,1073.55,15
11,3.80893,1,Received,1560.94,15
15,3.80893,1,Received,1552.71,0
17,3.80893,1,Duplicate,733.567,15
18,3.80893,1,Duplicate,1099.18,0
18,3.80893,1,Duplicate,1099.18,0
19,3.80893,1,Received,1443.39,15
20,3.80893,1,Duplicate,789.169,5
20,3.80893,1,Suppressed,789.169,5
20,3.80893,1,Duplicate,789.169,5
11,3.81693,1,Duplicate,1561.02,15
12,3.81693,1,Received,1715.96,15
17,3.81693,1,Duplicate,733.647,15
19,3.81693,1,Duplicate,1443.47,15
20,3.81693,1,Duplicate,789.169,5
18,3.81928,1,Broadcast,1099.18,0
15,3.82493,1,Duplicate,1552.87,0
17,3.82493,1,Duplicate,733.727,15
19,3.84067,1,Broadcast,1443.71,15
9,3.84493,1,Duplicate,219.628,5
9,3.84493,1,Suppressed,219.628,5
4,3.84893,1,Duplicate,865.118,0
4,3.84893,1,Suppressed,865.118,0
13,3.84893,1,Duplicate,1074.18,15
13,3.84893,1,Suppressed,1074.18,15
19,3.84893,1,Duplicate,1443.79,15
20,3.84893,1,Duplicate,789.169,5
8,3.85293,1,Duplicate,184.476,0
15,3.85378,1,Broadcast,1553.16,0
11,3.85693,1,Duplicate,1561.42,15
15,3.85693,1,Duplicate,1553.19,0
17,3.85693,1,Duplicate,734.047,15
12,3.8643,1,Broadcast,1715.96,15
3,3.88893,1,Duplicate,1256.6,0
