distance,timeTogetData,hopCount
100,0.19850000000000004,3
150,0.23450000000000007,1
200,0.2824999999999999,2
250,0.3280999999999999,3
300,0.3529,3
350,0.40090000000000003,3
400,0.4748400000000002,3
450,0.5262400000000002,4
500,0.5536400000000002,4
550,0.6270399999999999,4
600,0.6706400000000001,4
650,0.7388400000000002,7
700,0.8134399999999999,6
750,0.8814399999999999,7
800,0.9419799999999998,6
850,1.0479800000000001,7
900,1.1358199999999998,7
950,1.2030200000000002,7
1000,1.2056999999999998,8
