Node,Time,Name,Action,X,Y
1,2,0,Received,2,10
1,2,0,Broadcast,2,10
34,2.04893,0,Received,31.0057,7.25638
49,2.04893,0,Received,31.3722,18.3995
49,2.07359,0,Broadcast,31.3968,18.3995
1,2.08893,0,Duplicate,2.08893,10
34,2.08893,0,Duplicate,31.2057,7.25638
34,2.09383,0,Broadcast,31.2302,7.25638
1,2.12893,0,Duplicate,2.12893,10
49,2.12893,0,Duplicate,31.4522,18.3995
1,3,1,Received,3,10
1,3,1,Broadcast,3,10
34,3.04893,1,Received,36.0057,7.25638
49,3.04893,1,Received,32.3722,18.3995
34,3.08194,1,Broadcast,36.1708,7.25638
49,3.09049,1,Broadcast,32.4138,18.3995
1,3.12893,1,Duplicate,3.12893,10
1,3.12893,1,Duplicate,3.12893,10
18,3.25293,1,Received,207.376,0.802151
18,3.25293,1,Duplicate,207.376,0.802151
18,3.30428,1,Broadcast,207.376,0.802151
8,3.32893,1,Received,220.998,16.4922
36,3.32893,1,Received,279.875,13.5988
37,3.32893,1,Received,282.827,5.53475
39,3.32893,1,Received,271.933,13.8562
34,3.35293,1,Duplicate,37.5257,7.25638
34,3.35293,1,Suppressed,37.5257,7.25638
49,3.35293,1,Duplicate,32.6762,18.3995
49,3.35293,1,Suppressed,32.6762,18.3995
37,3.36481,1,Broadcast,282.863,5.53475
39,3.3677,1,Broadcast,271.971,13.8562
8,3.38536,1,Broadcast,220.998,16.4922
18,3.40893,1,Duplicate,207.376,0.802151
18,3.40893,1,Suppressed,207.376,0.802151
18,3.40893,1,Duplicate,207.376,0.802151
18,3.40893,1,Duplicate,207.376,0.802151
36,3.40893,1,Duplicate,279.875,13.5988
36,3.40893,1,Duplicate,279.875,13.5988
36,3.40893,1,Suppressed,279.875,13.5988
36,3.40893,1,Duplicate,279.875,13.5988
26,3.43293,1,Received,455.188,7.01026
26,3.52269,1,Broadcast,455.188,7.01026
36,3.59293,1,Duplicate,279.875,13.5988
37,3.59293,1,Duplicate,283.091,5.53475
37,3.59293,1,Suppressed,283.091,5.53475
1,4,2,Received,4,10
1,4,2,Broadcast,4,10
34,4.04893,2,Received,41.0057,7.25638
49,4.04893,2,Received,33.3722,18.3995
34,4.08544,2,Broadcast,41.1883,7.25638
49,4.09663,2,Broadcast,33.4199,18.3995
1,4.12893,2,Duplicate,4.12893,10
1,4.12893,2,Duplicate,4.12893,10
18,4.15293,2,Received,207.376,0.802151
18,4.15293,2,Duplicate,207.376,0.802151
18,4.2412,2,Broadcast,207.376,0.802151
8,4.28893,2,Received,220.998,16.4922
36,4.28893,2,Received,279.875,13.5988
37,4.28893,2,Received,283.787,5.53475
39,4.28893,2,Received,272.893,13.8562
34,4.31293,2,Duplicate,42.3257,7.25638
34,4.31293,2,Suppressed,42.3257,7.25638
49,4.31293,2,Duplicate,33.6362,18.3995
49,4.31293,2,Suppressed,33.6362,18.3995
36,4.32313,2,Broadcast,279.875,13.5988
37,4.34092,2,Broadcast,283.839,5.53475
39,4.35232,2,Broadcast,272.956,13.8562
8,4.36364,2,Broadcast,220.998,16.4922
8,4.36893,2,Duplicate,220.998,16.4922
8,4.36893,2,Suppressed,220.998,16.4922
18,4.36893,2,Duplicate,207.376,0.802151
18,4.36893,2,Suppressed,207.376,0.802151
18,4.36893,2,Duplicate,207.376,0.802151
18,4.36893,2,Duplicate,207.376,0.802151
26,4.39293,2,Received,455.188,7.01026
18,4.40893,2,Duplicate,207.376,0.802151
36,4.40893,2,Duplicate,279.875,13.5988
26,4.43278,2,Broadcast,455.188,7.01026
8,4.46893,2,Duplicate,220.998,16.4922
8,4.46893,2,Duplicate,220.998,16.4922
37,4.47293,2,Duplicate,283.971,5.53475
37,4.47293,2,Suppressed,283.971,5.53475
37,4.50893,2,Duplicate,284.007,5.53475
39,4.50893,2,Duplicate,273.113,13.8562
1,5,3,Received,5,10
1,5,3,Broadcast,5,10
34,5.04893,3,Received,46.0057,7.25638
49,5.04893,3,Received,34.3722,18.3995
34,5.09258,3,Broadcast,46.224,7.25638
49,5.12228,3,Broadcast,34.4455,18.3995
1,5.12893,3,Duplicate,5.12893,10
18,5.14493,3,Received,207.376,0.802151
1,5.16893,3,Duplicate,5.16893,10
18,5.19293,3,Duplicate,207.376,0.802151
49,5.22893,3,Duplicate,34.5522,18.3995
49,5.22893,3,Suppressed,34.5522,18.3995
18,5.22929,3,Broadcast,207.376,0.802151
8,5.24893,3,Received,220.998,16.4922
36,5.24893,3,Received,279.875,13.5988
