nodenumber,timeTogetData
10,0.43244000000000005
20,0.30809999999999993
30,0.3609
40,0.32089999999999996
50,0.3529
60,0.34809999999999997
70,0.3673
80,0.3353
90,0.3705
nodenumber,timeTogetData
10,0.42650000000000005
20,0.3545
30,0.30649999999999994
40,0.3673
50,0.3881
60,0.3721
70,0.3785
80,0.3577
90,0.2904999999999999
nodenumber,timeTogetData
10,0.33849999999999997
20,0.27929999999999994
30,0.3280999999999999
40,0.29849999999999993
50,0.3721
60,0.3449
70,0.3785
80,0.3513
90,0.39770000000000005
nodenumber,timeTogetData
10,0.3529
20,0.43376000000000003
30,0.30809999999999993
40,0.33049999999999996
50,0.3697000000000001
60,0.3465
70,0.3369
80,0.3753
90,0.33209999999999995
