Node,Time,Name,Action,X,Y
1,2,0,Received,2,0
1,2,0,Broadcast,2,0
2,2.04893,0,Received,28.8819,5
6,2.04893,0,Received,2.38388,15
8,2.04893,0,Received,36.8953,0
9,2.04893,0,Received,38.2846,5
14,2.04893,0,Received,40.9472,10
17,2.05693,0,Received,141.153,15
20,2.06493,0,Received,157.834,5
20,2.06493,0,Broadcast,157.834,5
9,2.07558,0,Broadcast,38.3113,5
17,2.07793,0,Broadcast,141.174,15
1,2.08893,0,Duplicate,2.08893,0
2,2.08893,0,Duplicate,28.8819,5
2,2.08893,0,Suppressed,28.8819,5
6,2.08893,0,Duplicate,2.38388,15
8,2.08893,0,Duplicate,36.8953,0
14,2.08893,0,Duplicate,40.9472,10
17,2.08893,0,Duplicate,141.185,15
4,2.09693,0,Received,179.659,0
13,2.11293,0,Received,209.251,15
14,2.12664,0,Broadcast,40.9472,10
4,2.12893,0,Duplicate,179.819,0
13,2.12893,0,Duplicate,209.267,15
18,2.12893,0,Received,219.836,0
2,2.13693,0,Duplicate,28.8819,5
3,2.13693,0,Received,245.679,0
6,2.13693,0,Duplicate,2.38388,15
6,2.13693,0,Suppressed,2.38388,15
8,2.13693,0,Duplicate,36.8953,0
9,2.13693,0,Duplicate,38.3726,5
9,2.13693,0,Suppressed,38.3726,5
14,2.13693,0,Duplicate,40.9472,10
14,2.13693,0,Suppressed,40.9472,10
1,2.14493,0,Duplicate,2.14493,0
19,2.15293,0,Received,283.213,15
13,2.16048,0,Broadcast,209.298,15
1,2.16893,0,Duplicate,2.16893,0
2,2.16893,0,Duplicate,28.8819,5
6,2.16893,0,Duplicate,2.38388,15
8,2.16893,0,Duplicate,36.8953,0
9,2.16893,0,Duplicate,38.4046,5
17,2.16893,0,Duplicate,141.265,15
4,2.17693,0,Duplicate,180.059,0
13,2.19293,0,Duplicate,209.331,15
3,2.20893,0,Duplicate,245.751,0
4,2.20893,0,Duplicate,180.219,0
11,2.20893,0,Received,306.779,15
15,2.20893,0,Received,305.134,0
17,2.20893,0,Duplicate,141.305,15
17,2.20893,0,Suppressed,141.305,15
18,2.20893,0,Duplicate,219.836,0
19,2.20893,0,Duplicate,283.269,15
12,2.21693,0,Received,343.191,15
19,2.23122,0,Broadcast,283.291,15
8,2.23293,0,Duplicate,36.8953,0
