Node,Time,Name,Action,X,Y
1,0,0,Received,0,0
1,0,0,Broadcast,0,0
1,1,1,Received,0,0
1,1,1,Broadcast,0,0
1,2,0,Received,504.8,778.1
1,2,0,Broadcast,504.8,778.1
2,2.04893,0,Received,504.8,710.3
2,2.07046,0,Broadcast,504.8,710.3
1,2.08893,0,Duplicate,504.8,778.1
1,3,2,Received,514.6,508
1,3,2,Broadcast,514.6,508
2,3.04893,2,Received,514.6,504.8
2,3.08321,2,Broadcast,514.6,504.8
1,3.12893,2,Duplicate,514.6,508
3,3.14893,2,Received,508,581.1
3,3.14893,2,Broadcast,508,581.1
1,4,0,Received,514.6,508
1,4,0,Broadcast,514.6,508
2,4.04893,0,Received,514.6,504.8
3,4.04893,0,Received,508,581.1
3,4.04893,0,Broadcast,508,581.1
1,5,1,Received,514.6,508
1,5,1,Broadcast,514.6,508
2,5.04893,1,Received,514.6,504.8
3,5.04893,1,Received,508,581.1
3,5.04893,1,Broadcast,508,581.1
1,6,3,Received,514.6,508
1,6,3,Broadcast,514.6,508
2,6.04893,3,Received,514.6,504.8
3,6.04893,3,Received,508,581.1
3,6.04893,3,Broadcast,508,581.1
1,7,4,Received,514.6,508
1,7,4,Broadcast,514.6,508
2,7.04893,4,Received,514.6,504.8
3,7.04893,4,Received,508,581.1
3,7.04893,4,Broadcast,508,581.1
1,8,5,Received,514.6,508
1,8,5,Broadcast,514.6,508
2,8.04893,5,Received,514.6,504.8
3,8.04893,5,Received,508,581.1
3,8.04893,5,Broadcast,508,581.1
1,9,6,Received,514.6,508
1,9,6,Broadcast,514.6,508
2,9.04893,6,Received,514.6,504.8
3,9.04893,6,Received,508,581.1
3,9.04893,6,Broadcast,508,581.1
