Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,0,0,0,0,0,0,0
30.0,12,0,0,3,0,0,0,0
40.0,12,0,2,4,0,2,0,0
50.0,20,0,3,4,0,3,0,0
60.0,20,0,7,5,0,7,0,0
70.0,24,0,10,5,0,10,0,0
80.0,24,0,13,5,0,13,0,0
90.0,32,0,14,5,0,14,0,0
100.0,32,0,17,5,0,17,0,0
110.0,36,0,19,5,0,19,0,0
120.0,36,0,20,5,0,20,0,0
130.0,44,0,20,5,0,20,0,0
140.0,44,0,20,5,0,20,0,0
150.0,48,0,21,5,0,21,0,0
160.0,48,0,21,7,0,21,0,0
170.0,56,0,21,7,0,21,0,0
180.0,56,0,24,9,0,24,0,0
190.0,60,0,24,9,0,24,0,0
200.0,60,0,28,14,0,28,0,0
210.0,60,0,29,14,0,29,0,0
220.0,60,0,31,16,0,31,0,0
230.0,60,0,31,16,0,31,0,0
240.0,60,0,31,16,0,31,0,0
250.0,60,0,31,16,0,31,0,0
260.0,60,0,31,16,0,31,0,0
270.0,60,0,31,16,0,31,0,0
280.0,60,0,31,18,0,31,0,0
290.0,60,0,31,18,0,31,0,0
300.0,60,0,34,24,0,34,0,0
310.0,60,0,36,26,0,36,0,0
