Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,0,0
40.0,12,0,0
50.0,20,0,0
60.0,20,0,0
70.0,24,1,1
80.0,24,1,1
90.0,32,1,1
100.0,32,1,1
110.0,36,1,1
120.0,36,1,1
130.0,44,1,1
140.0,44,1,1
150.0,48,2,2
160.0,48,2,2
170.0,56,3,3
180.0,56,3,3
190.0,60,3,3
200.0,60,4,4
210.0,60,5,5
220.0,60,5,5
230.0,60,5,5
240.0,60,5,5
250.0,60,5,5
260.0,60,5,5
270.0,60,5,5
280.0,60,5,5
290.0,60,5,5
300.0,60,5,5
310.0,60,5,5
