Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,6,0,3,6,0,0,2
40.0,12,6,0,6,6,0,0,4
50.0,20,8,0,8,8,0,0,4
60.0,20,8,0,10,8,0,0,6
70.0,24,13,0,15,13,0,0,10
80.0,24,13,0,18,13,0,0,13
90.0,32,13,0,22,13,0,0,13
100.0,32,17,0,23,17,0,0,13
110.0,36,19,0,25,19,0,0,14
120.0,36,19,0,30,19,0,0,19
130.0,44,21,0,34,21,0,0,21
140.0,44,25,0,35,25,0,0,21
150.0,48,28,0,39,28,0,0,23
160.0,48,28,0,42,28,0,0,26
170.0,56,29,0,46,29,0,0,29
180.0,56,32,0,47,32,0,0,29
190.0,60,38,2,47,36,0,2,29
200.0,60,39,2,53,37,0,2,35
210.0,60,42,2,55,40,0,2,37
220.0,60,42,2,56,40,0,2,38
230.0,60,42,2,58,40,0,2,40
240.0,60,42,2,58,40,0,2,40
250.0,60,42,2,59,40,0,2,41
260.0,60,42,2,59,40,0,2,41
270.0,60,42,2,59,40,0,2,41
280.0,60,42,2,59,40,0,2,41
290.0,60,42,2,59,40,0,2,41
300.0,60,42,2,59,40,0,2,41
310.0,60,42,2,59,40,0,2,41
