Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.4889	f1.0	3	1	FullDelay	0.239448	239448	1	2
11.2889	f2.0	4	1	FullDelay	0.24516	245160	1	2
11.6889	f1.0	3	2	FullDelay	0.241168	241168	1	2
14.6489	f6.0	8	1	FullDelay	0.214251	214251	1	2
14.9289	f1.0	3	5	FullDelay	0.242331	242331	1	2
15.0889	f5.0	7	3	FullDelay	0.216275	216275	1	2
15.1289	f2.0	4	4	FullDelay	0.251716	251716	1	2
17.7689	f5.0	7	6	FullDelay	0.226502	226502	1	2
17.9689	f6.0	8	4	FullDelay	0.312399	312399	1	2
19.2089	f2.0	4	8	FullDelay	0.239391	239391	1	2
20.6889	f8.0	10	1	FullDelay	0.239319	239319	1	2
20.8889	f7.0	9	2	FullDelay	0.210715	210715	1	2
20.9289	f2.0	4	10	FullDelay	0.246116	246116	1	2
21.1289	f1.0	3	11	FullDelay	0.227258	227258	1	2
21.3289	f2.0	4	11	FullDelay	0.314801	314801	1	2
21.6489	f1.0	3	12	FullDelay	0.225973	225973	1	2
22.2889	f1.0	3	13	FullDelay	0.236817	236817	1	2
22.3289	f8.0	10	3	FullDelay	0.217487	217487	1	2
22.5289	f7.0	9	4	FullDelay	0.301354	301354	1	2
22.5289	f2.0	4	12	FullDelay	0.229755	229755	1	2
23.1689	f5.0	7	11	FullDelay	0.354288	354288	1	2
23.3289	f7.0	9	5	FullDelay	0.233779	233779	1	2
23.5689	f8.0	10	4	FullDelay	0.215561	215561	1	2
25.7289	f6.0	8	11	FullDelay	0.581208	581208	1	2
26.0889	f2.0	4	15	FullDelay	0.352254	352254	1	2
26.6089	f5.0	7	14	FullDelay	0.748167	748167	1	2
27.2649	f3.0	5	12	FullDelay	0.302199	302199	1	2
27.9689	f5.0	7	15	FullDelay	0.637719	637719	1	3
28.2329	f8.0	10	8	FullDelay	0.269558	269558	1	2
28.4489	f5.0	7	16	FullDelay	0.227618	227618	1	2
28.6489	f6.0	8	14	FullDelay	0.296126	296126	1	2
29.5289	f6.0	8	15	FullDelay	0.494361	494361	1	2
29.6889	f7.0	9	10	FullDelay	0.214474	214474	1	2
33.9289	f7.0	9	14	FullDelay	0.250229	250229	1	2
34.1289	f8.0	10	13	FullDelay	0.275605	275605	1	2
34.8889	f8.0	10	14	FullDelay	0.621922	621922	1	2
38.4489	f7.0	9	18	FullDelay	0.395665	395665	1	3
39.2889	f8.0	10	18	FullDelay	0.243549	243549	1	2
43.4489	f8.0	10	22	FullDelay	0.387547	387547	1	2
44.3369	f6.1	13	9	FullDelay	0.272267	272267	1	2
44.4489	f7.0	9	23	FullDelay	0.221376	221376	1	2
46.9289	f7.0	9	25	FullDelay	0.509536	509536	1	2
47.2489	f8.0	10	25	FullDelay	0.405678	405678	1	2
47.8089	f7.0	9	26	FullDelay	0.372663	372663	1	3
48.7289	f8.0	10	26	FullDelay	0.405171	405171	1	3
50.0089	f7.0	9	28	FullDelay	0.570034	570034	1	2
55.9289	f6.2	20	4	FullDelay	0.222339	222339	1	2
56.1689	f5.1	19	5	FullDelay	0.23879	238790	1	2
59.3689	f6.2	20	7	FullDelay	0.916724	916724	1	5
61.0089	f3.1	17	8	FullDelay	0.975601	975601	1	4
61.5449	f3.1	17	9	FullDelay	0.274117	274117	1	2
63.1289	f3.1	17	10	FullDelay	0.691441	691441	1	2
63.9369	f1.1	15	9	FullDelay	0.67454	674540	1	3
65.1289	f3.1	17	12	FullDelay	0.662576	662576	1	2
66.0489	f6.2	20	13	FullDelay	0.216338	216338	1	2
66.2089	f3.1	17	13	FullDelay	0.811876	811876	1	4
66.9689	f6.2	20	14	FullDelay	0.731079	731079	1	3
66.9769	f1.1	15	12	FullDelay	0.280412	280412	1	2
67.6489	f1.1	15	13	FullDelay	0.593931	593931	1	2
68.0889	f2.2	16	13	FullDelay	0.815744	815744	1	3
68.4489	f1.1	15	14	FullDelay	0.21327	213270	1	2
69.4969	f7.1	21	12	FullDelay	0.235662	235662	1	2
71.8089	f7.1	21	14	FullDelay	0.235698	235698	1	2
91.3689	f2.4	28	1	FullDelay	0.264728	264728	1	2
91.6489	f1.2	27	1	FullDelay	0.2473	247300	1	2
92.6089	f3.2	29	1	FullDelay	0.213677	213677	1	2
92.7289	f2.4	28	2	FullDelay	0.411785	411785	1	3
94.3289	f4.4	30	1	FullDelay	0.235092	235092	1	2
94.5289	f2.4	28	4	FullDelay	0.221411	221411	1	2
94.8489	f3.2	29	3	FullDelay	0.634066	634066	1	2
95.0889	f1.2	27	4	FullDelay	0.456124	456124	1	2
95.3689	f3.2	29	4	FullDelay	0.240056	240056	1	2
96.4889	f3.2	29	5	FullDelay	0.237621	237621	1	2
96.8489	f4.4	30	3	FullDelay	0.237605	237605	1	2
97.2889	f4.4	30	4	FullDelay	0.249689	249689	1	2
97.7289	f3.2	29	6	FullDelay	0.250145	250145	1	2
99.4889	f4.4	30	6	FullDelay	0.242793	242793	1	2
99.6889	f3.2	29	8	FullDelay	0.336478	336478	1	2
100.449	f3.2	29	9	FullDelay	0.252091	252091	1	2
100.537	f1.2	27	9	FullDelay	0.478355	478355	1	3
100.689	f4.4	30	7	FullDelay	0.244601	244601	1	2
