Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,0,0
40.0,12,0,0
50.0,20,0,0
60.0,20,0,0
70.0,24,1,1
80.0,24,2,1
90.0,32,2,1
100.0,32,2,1
110.0,36,2,1
120.0,36,2,1
130.0,44,4,3
140.0,44,4,3
150.0,48,5,4
160.0,48,5,4
170.0,56,6,5
180.0,56,6,5
190.0,60,8,6
200.0,60,9,7
210.0,60,11,9
220.0,60,12,10
230.0,60,12,10
240.0,60,12,10
250.0,60,12,10
260.0,60,12,10
270.0,60,12,10
280.0,60,12,10
290.0,60,12,10
300.0,60,12,10
310.0,60,12,10
