node_ID	Position	Time
7	510:425:0	18
7	510:426:0	19
7	511:425:0	19
7	511:425:0	19
7	511:428:0	19
7	511:425:0	20
7	510:425:0	20
7	511:425:0	20
6	550:511:0	21
7	511:425:0	21
6	550:510:0	21
7	511:425:0	21
7	510:426:0	21
7	511:426:0	21
7	510:428:0	21
6	550:510:0	22
7	510:425:0	22
7	511:425:0	22
7	509:428:0	22
7	510:425:0	22
7	511:425:0	22
6	550:510:0	22
6	550:511:0	22
7	510:427:0	22
7	511:425:0	22
7	511:425:0	22
4	475:489:0	22
6	550:511:0	22
8	511:425:0	22
3	475:489:0	22
6	548:511:0	22
6	546:511:0	22
6	550:511:0	22
6	550:511:0	23
7	510:426:0	23
7	511:425:0	23
7	511:425:0	23
3	476:489:0	23
4	476:489:0	23
6	550:509:0	23
6	550:511:0	23
7	510:428:0	23
7	509:425:0	23
3	475:488:0	23
4	475:488:0	23
6	550:509:0	23
3	482:489:0	23
3	475:488:0	23
4	482:489:0	23
4	475:488:0	23
7	511:425:0	23
8	509:425:0	23
7	509:432:0	23
3	483:488:0	23
4	483:488:0	23
8	509:432:0	23
8	510:428:0	23
8	511:425:0	23
3	477:489:0	24
3	475:489:0	24
3	475:488:0	24
4	477:489:0	24
4	475:488:0	24
6	550:510:0	24
6	550:511:0	24
3	475:489:0	24
3	475:489:0	24
4	475:489:0	24
6	550:510:0	24
6	550:510:0	24
6	550:511:0	24
7	510:438:0	24
8	510:425:0	24
8	510:425:0	24
8	511:425:0	24
4	475:489:0	24
6	550:510:0	24
7	510:444:0	24
7	509:439:0	24
6	550:510:0	24
6	548:511:0	24
6	550:511:0	24
7	509:444:0	24
7	510:440:0	24
4	475:489:0	24
7	511:442:0	24
3	479:490:0	25
4	479:490:0	25
4	475:488:0	25
6	543:511:0	25
8	510:426:0	25
3	475:488:0	25
3	475:488:0	25
4	475:488:0	25
4	475:488:0	25
5	550:510:0	25
7	510:445:0	25
7	510:443:0	25
8	510:425:0	25
3	475:488:0	25
3	475:488:0	25
4	475:488:0	25
8	511:425:0	25
3	479:489:0	25
6	538:509:0	25
6	542:509:0	25
7	511:452:0	25
7	511:450:0	25
8	509:427:0	25
5	550:511:0	25
7	509:445:0	25
8	511:426:0	25
8	511:425:0	25
6	538:510:0	25
7	510:447:0	25
8	511:425:0	25
4	486:490:0	26
5	544:509:0	26
7	492:488:0	26
8	510:433:0	26
8	509:432:0	26
3	480:490:0	26
3	475:489:0	26
5	550:511:0	26
7	498:488:0	26
7	495:489:0	26
7	490:488:0	26
8	510:427:0	26
3	481:488:0	26
4	480:489:0	26
4	481:488:0	26
5	550:510:0	26
8	509:428:0	26
8	511:429:0	26
4	482:489:0	26
5	550:510:0	26
6	525:511:0	26
6	527:510:0	26
6	531:509:0	26
8	509:435:0	26
8	510:431:0	26
8	510:429:0	26
3	478:490:0	26
3	477:488:0	26
5	550:510:0	26
6	532:510:0	26
4	483:488:0	26
7	501:488:0	26
7	496:488:0	26
7	493:488:0	26
6	530:510:0	26
7	495:488:0	26
7	490:488:0	26
6	532:511:0	26
4	500:488:0	27
5	550:509:0	27
7	502:488:0	27
7	500:488:0	27
7	497:488:0	27
7	496:488:0	27
8	511:452:0	27
3	485:490:0	27
3	483:490:0	27
4	488:490:0	27
5	548:510:0	27
5	550:509:0	27
7	488:490:0	27
3	486:489:0	27
5	550:509:0	27
5	550:509:0	27
6	488:490:0	27
4	502:488:0	27
4	499:488:0	27
7	499:488:0	27
8	510:450:0	27
8	511:450:0	27
8	510:447:0	27
5	550:511:0	27
8	511:447:0	27
4	497:488:0	27
3	485:489:0	27
3	481:489:0	27
4	496:488:0	27
5	550:509:0	27
5	547:511:0	27
8	511:454:0	27
3	486:490:0	28
5	545:510:0	28
5	546:511:0	28
6	486:490:0	28
7	503:488:0	28
7	501:488:0	28
7	500:488:0	28
7	497:488:0	28
7	495:488:0	28
8	511:455:0	28
8	511:453:0	28
3	487:489:0	28
3	484:490:0	28
3	481:489:0	28
4	503:488:0	28
5	545:509:0	28
3	486:489:0	28
3	483:488:0	28
4	500:488:0	28
5	539:509:0	28
6	482:490:0	28
8	510:449:0	28
8	509:448:0	28
8	510:447:0	28
3	488:488:0	28
3	482:489:0	28
3	479:488:0	28
4	501:488:0	28
4	525:511:0	28
4	530:511:0	28
3	482:490:0	28
5	541:509:0	28
5	542:511:0	28
6	484:490:0	28
3	485:488:0	28
3	486:490:0	29
6	475:489:0	29
6	475:488:0	29
7	504:488:0	29
7	502:488:0	29
7	501:488:0	29
7	500:488:0	29
7	498:488:0	29
8	502:488:0	29
3	486:489:0	29
3	486:488:0	29
3	483:489:0	29
3	481:489:0	29
5	526:511:0	29
5	533:511:0	29
7	496:488:0	29
8	494:488:0	29
3	484:490:0	29
3	480:490:0	29
6	480:490:0	29
5	531:509:0	29
5	531:511:0	29
7	499:489:0	29
7	494:488:0	29
7	496:488:0	29
8	504:488:0	29
8	501:488:0	29
8	500:488:0	29
5	534:509:0	29
8	496:488:0	29
5	528:509:0	29
5	529:510:0	29
8	498:488:0	29
8	499:489:0	29
5	527:510:0	29
8	496:488:0	29
3	487:489:0	30
3	485:489:0	30
4	550:511:0	30
5	521:511:0	30
5	526:510:0	30
5	528:510:0	30
7	505:488:0	30
7	503:488:0	30
7	502:488:0	30
7	501:488:0	30
7	500:488:0	30
7	500:489:0	30
7	497:488:0	30
8	505:488:0	30
8	502:488:0	30
8	501:488:0	30
8	500:488:0	30
8	500:489:0	30
8	497:488:0	30
8	487:489:0	30
3	487:490:0	30
3	485:490:0	30
3	481:490:0	30
3	482:489:0	30
4	550:511:0	30
4	548:511:0	30
4	550:511:0	30
5	527:509:0	30
5	526:511:0	30
7	497:488:0	30
8	503:488:0	30
5	523:510:0	30
6	475:488:0	30
6	475:488:0	30
5	523:511:0	30
6	475:488:0	30
3	485:488:0	30
5	528:511:0	30
7	487:489:0	30
3	483:490:0	30
6	475:490:0	30
6	475:490:0	30
3	484:490:0	31
5	522:510:0	31
7	504:488:0	31
7	502:488:0	31
7	501:488:0	31
7	501:489:0	31
7	498:488:0	31
7	498:488:0	31
8	506:488:0	31
8	504:488:0	31
8	504:488:0	31
8	502:488:0	31
8	501:488:0	31
8	498:488:0	31
8	498:488:0	31
3	484:489:0	31
4	550:510:0	31
5	520:511:0	31
5	522:511:0	31
5	525:511:0	31
9	488:600:0	31
3	486:489:0	31
3	486:488:0	31
4	550:510:0	31
4	550:510:0	31
5	525:510:0	31
5	526:509:0	31
5	529:509:0	31
7	496:488:0	31
8	496:488:0	31
10	488:600:0	31
3	486:490:0	31
4	550:510:0	31
4	550:511:0	31
4	550:511:0	31
6	475:489:0	31
6	475:488:0	31
3	492:488:0	31
4	550:510:0	31
3	481:490:0	32
5	521:510:0	32
7	505:488:0	32
7	503:488:0	32
7	502:488:0	32
7	502:489:0	32
7	495:488:0	32
8	507:488:0	32
8	505:488:0	32
8	503:488:0	32
8	502:488:0	32
8	502:489:0	32
3	483:490:0	32
3	484:489:0	32
3	482:489:0	32
5	519:511:0	32
5	524:510:0	32
5	525:509:0	32
5	526:511:0	32
7	499:488:0	32
8	495:488:0	32
3	486:489:0	32
3	485:490:0	32
4	550:509:0	32
5	521:511:0	32
5	526:510:0	32
8	499:488:0	32
9	488:599:0	32
3	483:488:0	32
9	488:597:0	32
10	488:597:0	32
4	542:510:0	32
9	490:597:0	32
10	490:597:0	32
5	509:488:0	33
7	506:488:0	33
7	498:488:0	33
7	500:488:0	33
8	509:488:0	33
8	506:488:0	33
8	504:488:0	33
8	500:488:0	33
9	488:596:0	33
10	488:596:0	33
3	484:490:0	33
5	518:511:0	33
5	520:511:0	33
5	525:511:0	33
3	486:490:0	33
5	520:510:0	33
5	523:510:0	33
7	503:488:0	33
7	501:488:0	33
8	506:488:0	33
8	501:488:0	33
7	504:488:0	33
9	488:600:0	33
10	488:600:0	33
7	498:488:0	33
3	480:490:0	33
3	488:490:0	34
3	486:489:0	34
7	505:488:0	34
7	497:488:0	34
7	499:488:0	34
7	499:488:0	34
8	507:488:0	34
8	507:488:0	34
8	505:488:0	34
8	504:489:0	34
8	497:488:0	34
8	499:488:0	34
3	485:490:0	34
3	483:490:0	34
3	481:490:0	34
5	519:511:0	34
7	501:488:0	34
9	488:600:0	34
10	488:600:0	34
5	517:511:0	34
5	519:510:0	34
3	488:489:0	34
8	501:488:0	34
9	488:600:0	34
10	488:600:0	34
3	487:489:0	34
3	483:488:0	34
10	489:593:0	34
9	489:593:0	34
7	506:488:0	35
7	502:488:0	35
7	500:488:0	35
8	508:487:0	35
8	506:488:0	35
8	505:488:0	35
9	488:600:0	35
10	488:600:0	35
3	487:489:0	35
5	516:511:0	35
7	498:488:0	35
10	488:600:0	35
13	511:425:0	35
3	486:490:0	35
3	484:490:0	35
5	518:510:0	35
9	488:600:0	35
7	503:488:0	35
3	489:489:0	35
3	487:489:0	35
3	485:489:0	35
9	489:597:0	35
